date,tid,open,high,low,close,volume,mid,range,fac0,avg,s3,s7,s14,s21,s35,s49,s75,s100,s150,s200,s300,s400,s500,s600,s800,s1000,s1500,s2000,s3000,ma_close,ub,lb
2022-10-31/14:00:00,1,2904.2962,2908.7666,2891.6764,2895.1812,2334816100,2900.2215,17.0902,-242.776956,-221.238072,1671.533645,1094.275637,773.7697231,631.7803333,489.3749419,413.5973143,334.306729,289.51812,236.3905551,204.7202259,167.1533645,144.75906,129.4764394,118.1952775,102.360113,91.55366831,74.75325715,64.7382197,52.85853504,2976.856449,132.46395,-198.377166
2022-10-31/13:30:00,1,2915.3471,2919.8487,2904.2105,2904.8218,2553783000,2912.0296,15.6382,-213.927686,-92.406317,1677.099648,1097.919441,776.3462818,633.8840847,491.0045007,414.9745429,335.4199296,290.48218,237.1777068,205.4019193,167.7099648,145.24109,129.9075801,118.5888534,102.7009596,91.85853085,75.00217637,64.95379007,53.03454751,2979.680433,132.46395,-199.280579
2022-10-31/11:30:00,1,2906.8929,2926.015,2905.5932,2914.9465,2470456400,2915.8041,20.4218,270.240266,-117.78499,1682.945146,1101.746218,779.0522217,636.0934754,492.7158874,416.4209286,336.5890293,291.49465,238.0043851,206.1178437,168.2945146,145.747325,130.3603705,119.0021925,103.0589218,92.17870198,75.263595,65.18018525,53.2193984,2982.329678,132.46395,-201.770343
2022-10-31/11:00:00,1,2892.6699,2914.9318,2891.1422,2906.9502,3326083000,2903.037,23.7896,249.622032,-213.378423,1678.32848,1098.7239,776.9151206,634.3485397,491.364266,415.2786,335.6656961,290.69502,237.3514899,205.5524199,167.832848,145.34751,130.0027651,118.675745,102.7762099,91.92583677,75.05713142,65.00138254,53.0734066,2985.184697,132.46395,-202.312096
2022-10-31/10:30:00,1,2908.4608,2911.744,2885.0894,2892.9186,4436929400,2898.4167,26.6546,-237.072748,-358.317185,1670.227332,1093.420454,773.1650178,631.2865935,488.9924927,413.2740857,334.0454665,289.29186,236.2058146,204.5602359,167.0227332,144.64593,129.3752529,118.1029073,102.280118,91.48211861,74.69483706,64.68762643,52.81722581,2988.377715,132.46395,-199.024665
2022-10-31/10:00:00,1,2893.1962,2912.0202,2891.2004,2908.0564,9422525800,2901.6103,20.8198,-260.877911,-365.5569,1678.967145,1099.142005,777.210765,634.5899323,491.5512479,415.4366286,335.7934291,290.80564,237.4418108,205.6306401,167.8967145,145.40282,130.0522359,118.7209054,102.81532,91.96081788,75.08569338,65.02611793,53.09360296,2991.654933,132.46395,-193.259767
2022-10-28/15:00:00,1,2923.5854,2923.7113,2908.9831,2915.9257,4334703800,2916.3472,14.7282,-263.666186,-338.999354,1683.510488,1102.116321,779.3139239,636.3071543,492.8814024,416.5608143,336.7020976,291.59257,238.0843364,206.1870836,168.3510488,145.796285,130.4041617,119.0421682,103.0935418,92.209667,75.28887783,65.20208083,53.23727606,2994.709249,132.46395,-187.724782
2022-10-28/14:30:00,1,2936.0223,2941.988,2921.7841,2923.6319,2822932800,2931.88605,20.2039,-215.010639,-320.644614,1687.959664,1105.02899,781.3734925,637.988785,494.1839879,417.6617,337.5919329,292.36319,238.713545,206.7319942,168.7959664,146.181595,130.7487934,119.3567725,103.3659971,92.45335844,75.48785106,65.3743967,53.37797138,2997.340879,132.46395,-182.840237
2022-10-28/14:00:00,1,2937.9287,2943.6776,2928.8183,2935.8458,2592801500,2936.24795,14.8593,-249.364656,-324.163432,1695.011363,1109.645411,784.6377946,640.6540765,496.2485138,419.4065429,339.0022726,293.58458,239.7108058,207.5956474,169.5011363,146.79229,131.2950156,119.8554029,103.7978237,92.83959587,75.8032126,65.6475078,53.60096567,2999.70554,132.46395,-178.152227
2022-10-28/13:30:00,1,2958.1593,2958.1593,2937.5367,2938.5167,2442561400,2947.848,20.6226,-252.816189,-315.070311,1696.553408,1110.654916,785.3516226,641.2369147,496.6999783,419.7881,339.3106816,293.85167,239.9288839,207.7845085,169.6553408,146.925835,131.4144619,119.9644419,103.8922543,92.92405714,75.87217494,65.70723094,53.64972941,3001.863958,132.46395,-173.524919
